62901,Carbondale,Illinois
46376,Schneider,Indiana
30529,Commerce,Georgia
72571,Rosie,Arkansas
80104,Castle Rock,Colorado
91042,Tujunga,California
52041,Earlville,Iowa
33162,Miami,Florida
86426,Fort Mohave,Arizona
80820,Guffey,Colorado
62943,Grantsburg,Illinois
62684,Sherman,Illinois
47360,Mooreland,Indiana
46121,Coatesville,Indiana
62824,Clay City,Illinois
30277,Sharpsburg,Georgia
50244,Slater,Iowa
71602,White Hall,Arkansas
33847,Homeland,Florida
39834,Climax,Georgia
32927,Cocoa,Florida
61870,Ridge Farm,Illinois
96058,Macdoel,California
62884,Sesser,Illinois
60932,East Lynn,Illinois
30078,Snellville,Georgia
62320,Camp Point,Illinois
33035,Homestead,Florida
60613,Chicago,Illinois
62530,Divernon,Illinois
51573,Stanton,Iowa
31216,Macon,Georgia
61252,Fulton,Illinois
50515,Ayrshire,Iowa
32925,Patrick Afb,Florida
94601,Oakland,California
85354,Tonopah,Arizona
34609,Spring Hill,Florida
30523,Clarkesville,Georgia
34210,Bradenton,Florida
80652,Roggen,Colorado
52776,West Liberty,Iowa
52571,Moravia,Iowa
96132,Termo,California
20390,Washington,District of Columbia
91106,Pasadena,California
94947,Novato,California
30339,Atlanta,Georgia
32164,Palm Coast,Florida
81240,Penrose,Colorado
72852,Oark,Arkansas
95337,Manteca,California
50231,Randall,Iowa
86042,Polacca,Arizona
46347,Kouts,Indiana
80816,Florissant,Colorado
47469,West Baden Springs,
85251,Scottsdale,Arizona
94107,San Francisco,California
91203,Glendale,California
52737,Columbus City,Iowa
46324,Hammond,Indiana
62358,Niota,Illinois
50851,Lenox,Iowa
92008,Carlsbad,California
61274,Osco,Illinois
95425,Cloverdale,California
47434,Harrodsburg,Indiana
85192,Winkelman,Arizona
30755,Tunnel Hill,Georgia
30113,Buchanan,Georgia
6066,Vernon Rockville,Connecticut
80615,Eaton,Colorado
62888,Tamaroa,Illinois
83616,Eagle,Idaho
92624,Capistrano Beach,California
50654,Masonville,Iowa
81332,Rico,Colorado
95231,French Camp,California
32359,Steinhatchee,Florida
52569,Melrose,Iowa
46310,Demotte,Indiana
72383,Turner,Arkansas
96103,Blairsden-graeagle,
30341,Atlanta,Georgia
32754,Mims,Florida
33778,Largo,Florida
93004,Ventura,California
51031,Le Mars,Iowa
61742,Goodfield,Illinois
32780,Titusville,Florida
30473,Uvalda,Georgia
30410,Ailey,Georgia
52555,Exline,Iowa
31701,Albany,Georgia
51005,Aurelia,Iowa
60551,Sheridan,Illinois
95388,Winton,California
80229,Denver,Colorado
61570,Washburn,Illinois
80433,Conifer,Colorado
90240,Downey,California
62571,Tower Hill,Illinois
30728,La Fayette,Georgia
50864,Villisca,Iowa
60423,Frankfort,Illinois
46590,Winona Lake,Indiana
33169,Miami,Florida
62049,Hillsboro,Illinois
52208,Belle Plaine,Iowa
94957,Ross,California
33136,Miami,Florida
30545,Helen,Georgia
61242,Cordova,Illinois
81242,Poncha Springs,Colorado
96761,Lahaina,Hawaii
95547,Hydesville,California
91343,North Hills,California
47983,Stockwell,Indiana
32024,Lake City,Florida
72432,Harrisburg,Arkansas
30467,Sylvania,Georgia
62087,South Roxana,Illinois
94512,Birds Landing,California
81410,Austin,Colorado
50238,Russell,Iowa
33062,Pompano Beach,Florida
91915,Chula Vista,California
31771,Norman Park,Georgia
93449,Pismo Beach,California
93240,Lake Isabella,California
30557,Martin,Georgia
62666,Middletown,Illinois
94070,San Carlos,California
47340,Farmland,Indiana
6262,Quinebaug,Connecticut
92887,Yorba Linda,California
93631,Kingsburg,California
86433,Oatman,Arizona
93930,King City,California
50208,Newton,Iowa
47584,Spurgeon,Indiana
81615,Snowmass Village,Colorado
61740,Flanagan,Illinois
72118,North Little Rock,
72520,Camp,Arkansas
81623,Carbondale,Colorado
96113,Herlong,California
85085,Phoenix,Arizona
6384,Voluntown,Connecticut
50153,Lynnville,Iowa
6370,Oakdale,Connecticut
92024,Encinitas,California
31007,Byromville,Georgia
94965,Sausalito,California
80005,Arvada,Colorado
34470,Ocala,Florida
62610,Alsey,Illinois
50420,Alexander,Iowa
94547,Hercules,California
46181,Trafalgar,Indiana
6026,East Granby,Connecticut
90017,Los Angeles,California
60043,Kenilworth,Illinois
30215,Fayetteville,Georgia
33936,Lehigh Acres,Florida
52216,Clarence,Iowa
72176,Ward,Arkansas
83815,Coeur D Alene,Idaho
47959,Monon,Indiana
60474,South Wilmington,Illinois
30701,Calhoun,Georgia
50634,Gilbertville,Iowa
80631,Greeley,Colorado
6785,South Kent,Connecticut
47940,Darlington,Indiana
72513,Ash Flat,Arkansas
46760,Kimmell,Indiana
52341,Toddville,Iowa
31623,Argyle,Georgia
30275,Sargent,Georgia
34491,Summerfield,Florida
33763,Clearwater,Florida
60653,Chicago,Illinois
61377,Wenona,Illinois
94041,Mountain View,California
30034,Decatur,Georgia
31630,Du Pont,Georgia
72126,Perryville,Arkansas
46148,Knightstown,Indiana
95709,Camino,California
19936,Cheswold,Delaware
81024,Boncarbo,Colorado
52254,Lost Nation,Iowa
66058,Muscotah,Kansas
33001,Long Key,Florida
32708,Winter Springs,Florida
6883,Weston,Connecticut
30104,Aragon,Georgia
61919,Camargo,Illinois
83283,Thatcher,Idaho
47841,Clay City,Indiana
83622,Garden Valley,Idaho
31567,West Green,Georgia
30720,Dalton,Georgia
80453,Idledale,Colorado
93455,Santa Maria,California
93207,California Hot Sprin,
62035,Godfrey,Illinois
80457,Kittredge,Colorado
60503,Aurora,Illinois
81248,Sargents,Colorado
80720,Akron,Colorado
52588,Selma,Iowa
61323,Dover,Illinois
83316,Buhl,Idaho
62065,Michael,Illinois
80721,Amherst,Colorado
62053,Kampsville,Illinois
52052,Guttenberg,Iowa
95699,Drytown,California
95682,Shingle Springs,California
80836,Stratton,Colorado
32509,Pensacola,Florida
50857,Nodaway,Iowa
81067,Rocky Ford,Colorado
96818,Honolulu,Hawaii
91950,National City,California
60515,Downers Grove,Illinois
94305,Stanford,California
85615,Hereford,Arizona
47558,Montgomery,Indiana
62841,Freeman Spur,Illinois
6762,Middlebury,Connecticut
50560,Lu Verne,Iowa
94933,Forest Knolls,California
47385,Spiceland,Indiana
51007,Bronson,Iowa
50120,Haverhill,Iowa
32951,Melbourne Beach,Florida
30206,Concord,Georgia
93925,Chualar,California
83627,Hammett,Idaho
50027,Barnes City,Iowa
52550,Delta,Iowa
86545,Rock Point,Arizona
52751,Grand Mound,Iowa
94938,Lagunitas,California
93553,Pearblossom,California
32656,Keystone Heights,Florida
31016,Culloden,Georgia
72103,Mabelvale,Arkansas
81501,Grand Junction,Colorado
93242,Laton,California
46118,Clayton,Indiana
80924,Colorado Springs,Colorado
32204,Jacksonville,Florida
85201,Mesa,Arizona
52747,Durant,Iowa
52728,Buffalo,Iowa
31906,Columbus,Georgia
50116,Hamilton,Iowa
93260,Posey,California
96038,Grenada,California
51555,Missouri Valley,Iowa
85706,Tucson,Arizona
32626,Chiefland,Florida
52335,South English,Iowa
50254,Thayer,Iowa
33924,Captiva,Florida
32968,Vero Beach,Florida
32607,Gainesville,Florida
31823,Pine Mountain Valley,
39845,Donalsonville,Georgia
85381,Peoria,Arizona
81023,Beulah,Colorado
83254,Montpelier,Idaho
67801,Dodge City,Kansas
91763,Montclair,California
32162,The Villages,Florida
47868,Poland,Indiana
51026,Hornick,Iowa
80442,Fraser,Colorado
93722,Fresno,California
52228,Fairfax,Iowa
33521,Coleman,Florida
66748,Humboldt,Kansas
50167,Minburn,Iowa
46704,Arcola,Indiana
62907,Ava,Illinois
72828,Briggsville,Arkansas
30004,Alpharetta,Georgia
33744,Bay Pines,Florida
71865,Wilton,Arkansas
20037,Washington,District of Columbia
67625,Bogue,Kansas
85029,Phoenix,Arizona
80914,Colorado Springs,Colorado
61320,Dalzell,Illinois
95350,Modesto,California
85924,Concho,Arizona
93226,Glennville,California
62294,Troy,Illinois
6114,Hartford,Connecticut
32065,Orange Park,Florida
61605,Peoria,Illinois
52336,Springville,Iowa
95841,Sacramento,California
30734,Ranger,Georgia
52202,Alburnett,Iowa
83354,Sun Valley,Idaho
67144,Towanda,Kansas
51631,Braddyville,Iowa
72959,Winslow,Arkansas
92595,Wildomar,California
32835,Orlando,Florida
33165,Miami,Florida
93013,Carpinteria,California
95606,Brooks,California
60410,Channahon,Illinois
6070,Simsbury,Connecticut
72856,Pelsor,Arkansas
80612,Carr,Colorado
72434,Imboden,Arkansas
46771,Mongo,Indiana
96120,Markleeville,California
51572,Soldier,Iowa
80477,Steamboat Springs,
6078,Suffield,Connecticut
72206,Little Rock,Arkansas
86033,Kayenta,Arizona
94102,San Francisco,California
72553,Magness,Arkansas
50430,Corwith,Iowa
81650,Rifle,Colorado
33455,Hobe Sound,Florida
81624,Collbran,Colorado
91948,Mount Laguna,California
80863,Woodland Park,Colorado
80498,Silverthorne,Colorado
50212,Ogden,Iowa
90210,Beverly Hills,California
46048,Ingalls,Indiana
33158,Miami,Florida
96863,M C B H Kaneohe Bay,
51006,Battle Creek,Iowa
46992,Wabash,Indiana
96073,Palo Cedro,California
46740,Geneva,Indiana
61333,Long Point,Illinois
6804,Brookfield,Connecticut
83706,Boise,Idaho
72908,Fort Smith,Arkansas
83839,Kingston,Idaho
33157,Miami,Florida
71933,Bonnerdale,Arkansas
60619,Chicago,Illinois
93669,Wishon,California
62671,New Holland,Illinois
30683,Winterville,Georgia
61256,Hampton,Illinois
34683,Palm Harbor,Florida
95922,Camptonville,California
91361,Westlake Village,California
47863,New Goshen,Indiana
72082,Kensett,Arkansas
61863,Pesotum,Illinois
72438,Leachville,Arkansas
93452,San Simeon,California
33407,West Palm Beach,Florida
52305,Martelle,Iowa
61041,Hanover,Illinois
62207,East Saint Louis,Illinois
34237,Sarasota,Florida
31058,Mauk,Georgia
62526,Decatur,Illinois
96109,Doyle,California
51346,Hartley,Iowa
72522,Charlotte,Arkansas
31314,Fort Stewart,Georgia
31560,Screven,Georgia
47581,Shoals,Indiana
92883,Corona,California
51571,Silver City,Iowa
71859,Saratoga,Arkansas
95527,Burnt Ranch,California
19941,Ellendale,Delaware
61871,Royal,Illinois
92321,Cedar Glen,California
51350,Melvin,Iowa
30082,Smyrna,Georgia
33442,Deerfield Beach,Florida
60408,Braidwood,Illinois
51010,Castana,Iowa
60475,Steger,Illinois
93531,Keene,California
71730,El Dorado,Arkansas
47453,Owensburg,Indiana
62002,Alton,Illinois
71913,Hot Springs National,
93950,Pacific Grove,California
6016,Broad Brook,Connecticut
95237,Lockeford,California
34442,Hernando,Florida
92672,San Clemente,California
95492,Windsor,California
72201,Little Rock,Arkansas
72031,Clinton,Arkansas
60448,Mokena,Illinois
81430,Placerville,Colorado
95816,Sacramento,California
93664,Shaver Lake,California
80122,Littleton,Colorado
90241,Downey,California
96034,Gazelle,California
91702,Azusa,California
31789,Sumner,Georgia
50439,Goodell,Iowa
93624,Five Points,California
66418,Delia,Kansas
30233,Jackson,Georgia
61091,Woosung,Illinois
66732,Elsmore,Kansas
61364,Streator,Illinois
33068,Pompano Beach,Florida
51652,Sidney,Iowa
62987,Stonefort,Illinois
81001,Pueblo,Colorado
60920,Campus,Illinois
31709,Americus,Georgia
50633,Geneva,Iowa
62976,Pulaski,Illinois
32117,Daytona Beach,Florida
19707,Hockessin,Delaware
51445,Ida Grove,Iowa
93513,Big Pine,California
34450,Inverness,Florida
83285,Wayan,Idaho
72567,Pleasant Grove,Arkansas
30752,Trenton,Georgia
47847,Dana,Indiana
33476,Pahokee,Florida
47455,Patricksburg,Indiana
90001,Los Angeles,California
6469,Moodus,Connecticut
46301,Beverly Shores,Indiana
61438,Good Hope,Illinois
46011,Anderson,Indiana
92337,Fontana,California
92267,Parker Dam,California
81141,Manassa,Colorado
90660,Pico Rivera,California
72821,Altus,Arkansas
95463,Navarro,California
34232,Sarasota,Florida
62643,Hartsburg,Illinois
66860,Madison,Kansas
33403,West Palm Beach,Florida
83548,Reubens,Idaho
83836,Hope,Idaho
94028,Portola Valley,California
85551,Solomon,Arizona
51363,Superior,Iowa
81133,Fort Garland,Colorado
6413,Clinton,Connecticut
83336,Heyburn,Idaho
33618,Tampa,Florida
46792,Warren,Indiana
51440,Dedham,Iowa
93551,Palmdale,California
46115,Carthage,Indiana
72542,Hardy,Arkansas
34996,Stuart,Florida
33635,Tampa,Florida
33129,Miami,Florida
72717,Canehill,Arkansas
