al4613,93.0,1,1
am4447,95.0,2,2
ak9804,79.0,3,3
as1233,60.0,4,4
al5684,97.0,5,5
al6759,88.0,4,4
ah2567,75.0,6,6
ab8825,78.0,7,7
ak1365,71.0,8,8
at2037,96.0,9,9
as3627,67.0,10,10
ah3078,80.0,11,11
ab8389,72.0,12,12
at1813,90.0,13,13
ao8250,79.0,2,2
al8826,65.0,14,14
ab4479,67.0,15,15
al5806,76.0,16,16
aj1457,66.0,17,17
ar7586,72.0,18,18
am6718,79.0,19,19
as4057,73.0,20,20
az6923,76.0,21,21
ab9912,78.0,22,22
ap8429,79.0,23,23
ag4728,75.0,24,24
am5109,69.0,22,22
ab3717,85.0,25,25
ah5707,74.0,26,26
ad9791,96.0,27,27
aw2983,98.0,28,28
lj2993,95.0,22,22
rb1832,60.0,1,1
ld8122,62.0,21,21
md5914,66.0,13,13
kf8268,91.0,29,29
pz6665,98.0,30,30
mr6639,68.0,31,31
sc5452,96.0,7,7
tp8468,81.0,26,26
ih9335,87.0,32,32
me9525,97.0,27,27
pr4075,93.0,19,19
nk8056,73.0,33,33
jz5577,75.0,34,34
jp2632,89.0,35,35
lk7361,96.0,22,22
ks1880,95.0,35,35
ms2404,93.0,36,36
ih5431,93.0,37,37
sm4115,78.0,17,17
js8078,99.0,34,34
mb4117,86.0,38,38
rm8585,67.0,23,23
mg1976,77.0,9,9
kc4364,82.0,33,33
rh2046,78.0,38,38
jh2885,69.0,14,14
ms9362,68.0,35,35
jl6447,65.0,39,39
mr2329,87.0,28,28
ma5503,100.0,40,40
rb4971,86.0,6,6
jc5818,66.0,7,7
kg2618,94.0,14,14
lg4120,70.0,41,41
sg2123,69.0,5,5
tp3946,66.0,12,12
sb5076,60.0,26,26
mh2221,80.0,5,5
vs8351,85.0,21,21
mm1324,66.0,31,31
tg2289,82.0,12,12
mk4648,88.0,18,18
sa8884,72.0,18,18
kn1468,76.0,42,42
jk5833,88.0,29,29
md1699,68.0,43,43
mc4814,89.0,21,21
ll2646,62.0,44,44
mr3369,67.0,42,42
tb7100,89.0,27,27
wm3293,95.0,45,45
jb9557,91.0,23,23
ko8881,63.0,25,25
zj6533,61.0,27,27
mb4756,92.0,7,7
mr3556,69.0,1,1
md3813,89.0,27,27
km6173,90.0,38,38
sg3060,100.0,40,40
ms7605,94.0,22,22
tm4946,94.0,17,17
jg1721,94.0,3,3
yc2897,91.0,40,40
ss9714,82.0,10,10
rb9779,86.0,9,9
zr6768,79.0,25,25
rc6428,95.0,46,46
jt5287,68.0,47,47
lo7605,79.0,40,40
tr4637,75.0,11,11
lr3728,66.0,34,34
xg4863,81.0,2,2
me5010,92.0,10,10
lr5472,82.0,33,33
sh4974,64.0,6,6
la9924,95.0,1,1
ms2737,64.0,38,38
tb8127,87.0,19,19
mm2976,70.0,36,36
th3170,65.0,46,46
kk3742,74.0,48,48
nd2615,67.0,33,33
sb6428,96.0,49,49
rr9237,82.0,13,13
mm1660,82.0,41,41
mr1462,67.0,28,28
lg1828,87.0,25,25
jo7172,62.0,32,32
ma5045,65.0,47,47
mc4696,80.0,11,11
